name,address,lng,lat
안산양지초등학교,경기도 안산시 단원구 안산천남로 129(고잔동),126.834798,37.304744
시곡초등학교,경기도 안산시 상록구 감골1로 46(사동),126.852452,37.2888533
본오초등학교,경기도 안산시 상록구 각골서로 49(본오동),126.868676,37.2945332
본원초등학교,경기도 안산시 상록구 샘골로 83(본오동),126.861983,37.2911685
각골초등학교,경기도 안산시 상록구 석호로 384(본오동),126.873349,37.292617
팔곡초등학교,경기도 안산시 상록구 팔곡두레길 71(팔곡이동),126.882845,37.297364
안산창촌초등학교,경기도 안산시 상록구 건건5길 7(건건동),126.904557,37.3076922
안산초등학교,경기도 안산시 상록구 수암2길 13-7(수암동),126.878095,37.3647522
상록초등학교,경기도 안산시 상록구 본오로 157(본오동),126.865915,37.2988338
이호초등학교,경기도 안산시 상록구 고목로3길 44(본오동),126.860597,37.2867093
정재초등학교,경기도 안산시 상록구 정재초교길 11(부곡동),126.86441,37.3381245
안산부곡초등학교,경기도 안산시 상록구 부곡로 73(부곡동),126.860124,37.3290221
시랑초등학교,경기도 안산시 상록구 충장로 670(부곡동),126.855866,37.3361983
석호초등학교,경기도 안산시 상록구 석호로 113(사동),126.848221,37.3008045
초당초등학교,경기도 안산시 상록구 초당로 25(사동),126.85111,37.2853572
경일초등학교,경기도 안산시 상록구 성포로 47(성포동),126.847682,37.323922
성포초등학교,경기도 안산시 상록구 안산천동로 90(성포동),126.842536,37.3240429
경수초등학교,경기도 안산시 상록구 삼일로 670(성포동),126.850609,37.3269927
삼일초등학교,경기도 안산시 상록구 월피로 42(월피동),126.850643,37.3323379
안산광덕초등학교,경기도 안산시 상록구 안산천서로3길 6-7(월피동),126.843878,37.3328862
학현초등학교,경기도 안산시 상록구 석호로 6(이동),126.847059,37.3108044
대전가장초등학교,대전광역시 서구 가장로 150(가장동),127.387881,36.3305372
신곡초등학교,경기도 김포시 고촌읍 수기로 67-30,126.766089,37.5965423
증포초등학교,경기도 이천시 이섭대천로 1418(증포동),127.456967,37.2942755
마송중앙초등학교,경기도 김포시 통진읍 마송1로 140,126.593975,37.6894042
마송초등학교,경기도 김포시 통진읍 흥신로 315,126.606551,37.6844267
통진초등학교,경기도 김포시 통진읍 조강로 116,126.594437,37.6937255
금란초등학교,경기도 김포시 고촌읍 장곡로 42,126.751173,37.6075672
학운초등학교,경기도 김포시 양촌읍 황금로70번길 13,126.624635,37.6209923
양곡초등학교,경기도 김포시 양촌읍 양곡로 548,126.62238,37.6554203
신양초등학교,경기도 김포시 양촌읍 양곡3로 47,126.63409,37.6558897
대곶초등학교,경기도 김포시 대곶면 율생중앙로36번길 19,126.584605,37.6520092
석정초등학교,경기도 김포시 대곶면 대곶로331번길 10,126.55435,37.6735637
옹정초등학교,경기도 김포시 통진읍 옹정로185번길 26,126.563921,37.6939437
개곡초등학교,경기도 김포시 월곶면 애기봉로 445,126.593465,37.7321415
하성초등학교,경기도 김포시 하성면 애기봉로 857,126.632844,37.7201072
설봉초등학교,경기도 이천시 향교로 129(창전동),127.452774,37.2845242
이천송정초등학교,경기도 이천시 영창로45번길 165(송정동),127.433225,37.294211
안흥초등학교,경기도 이천시 영창로300번길 16(안흥동),127.456695,37.2802439
한내초등학교,경기도 이천시 갈산로 71(증포동),127.461654,37.2900422
이천단월초등학교,경기도 이천시 단월로 98(단월동),127.451248,37.2273955
이천남초등학교,경기도 이천시 경충대로2614번길 32(중리동),127.444115,37.2765272
창현초등학교,경기도 남양주시 화도읍 녹촌로 12,127.302115,37.6455702
진접초등학교,경기도 남양주시 진접읍 해밀예당2로 102,127.199804,37.717068
주곡초등학교,경기도 남양주시 진접읍 해밀예당1로 277,127.205905,37.7246868
화봉초등학교,경기도 남양주시 진접읍 해밀예당2로 21,127.191753,37.7158418
풍양초등학교,경기도 남양주시 진접읍 내각1로 31-1,127.161659,37.7019183
부평초등학교,경기도 남양주시 진접읍 부평로48번길 27,127.201531,37.7379566
장승초등학교,경기도 남양주시 진접읍 금강로1576번길 12,127.195546,37.730086
장현초등학교,경기도 남양주시 진접읍 장현천로 37,127.182189,37.7191728
광릉초등학교,경기도 남양주시 진접읍 광릉내로82번길 29,127.20727,37.7456089
어람초등학교,경기도 남양주시 오남읍 진건오남로550번길 25,127.212738,37.6823929
예봉초등학교,경기도 남양주시 와부읍 수레로 108,127.221318,37.5923181
와부초등학교,경기도 남양주시 와부읍 월문천로 63,127.218539,37.5863257
남양주월문초등학교,경기도 남양주시 와부읍 수레로 519,127.261873,37.6091305
도심초등학교,경기도 남양주시 와부읍 석실로 45,127.227792,37.5805477
심석초등학교,경기도 남양주시 화도읍 마석로76번길 10,127.307051,37.6575523
마석초등학교녹촌분교장,경기도 남양주시 화도읍 가구단지6길 63-12,127.286489,37.6520807
화접초등학교,경기도 남양주시 별내중앙로 148(별내동),127.115982,37.6530546
별내초등학교,경기도 남양주시 별내면 청학로92번길 38,127.118412,37.7111183
근화초등학교,강원도 춘천시 소양로163번길 23(근화동),127.72299,37.8891154
호반초등학교,강원도 춘천시 후만로126번길 35(후평동),127.760737,37.8745534
신남초등학교,강원도 춘천시 칠전서길 37(칠전동),127.711758,37.8425095
석사초등학교,강원도 춘천시 공지로 126(석사동),127.749422,37.8578855
봄내초등학교,강원도 춘천시 퇴계로 220-10(석사동),127.74193,37.8558293
성림초등학교,강원도 춘천시 지석로 47(석사동),127.740349,37.8522402
우석초등학교,강원도 춘천시 애막골길16번길 6(석사동),127.749873,37.8645242
남춘천초등학교,강원도 춘천시 충혼길 33(온의동),127.722108,37.8609726
소양초등학교,강원도 춘천시 충열로 134(우두동),127.739929,37.9047504
남부초등학교,강원도 춘천시 춘주로 159(퇴계동),127.726705,37.8587926
동춘천초등학교,강원도 춘천시 성심로 77(효자동),127.742855,37.8772184
부안초등학교,강원도 춘천시 서부대성로239번길 70(후평동),127.74989,37.8766743
후평초등학교,강원도 춘천시 춘천로295번길 17(후평동),127.744156,37.8827158
동부초등학교,강원도 춘천시 서부대성로 339(후평동),127.754782,37.8708167
성원초등학교,강원도 춘천시 승지골길16번길 36(퇴계동),127.744584,37.8482999
천전초등학교,강원도 춘천시 신북읍 율문1길 16-9,127.745508,37.9273882
오동초등학교,강원도 춘천시 신북읍 장본길 74,127.758162,37.9514188
상천초등학교,강원도 춘천시 신북읍 상천2길 19,127.785424,37.9335917
금병초등학교,강원도 춘천시 신동면 김유정로 1394,127.714444,37.815166
금산초등학교,강원도 춘천시 서면 금산2길 21,127.699587,37.9032493
당림초등학교,강원도 춘천시 서면 당숲안길 81,127.607843,37.83763
서상초등학교,강원도 춘천시 서면 박사로 1348,127.707289,37.9289032
조양초등학교,강원도 춘천시 동산면 조양길 257,127.795621,37.7512003
다문초등학교,경기도 양평군 용문면 다문중앙2길 27,127.591646,37.4857915
대전봉산초등학교,대전광역시 서구 신갈마로141번길 45(갈마동),127.365267,36.3453547
대전선암초등학교,대전광역시 서구 관저중로 61(관저동),127.333535,36.2971614
대전구봉초등학교,대전광역시 서구 관저로 75(관저동),127.329404,36.2995259
대전금동초등학교,대전광역시 서구 관저로 45(관저동),127.325577,36.2980967
대전관저초등학교,대전광역시 서구 관저동로 161(관저동),127.339334,36.3062177
대전느리울초등학교,대전광역시 서구 관저로 196(관저동),127.343483,36.2982387
대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동),127.371193,36.324416
대전유천초등학교,대전광역시 서구 제비네6길 69(도마동),127.37518,36.3148101
대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동),127.380881,36.3499295
한밭초등학교,대전광역시 서구 문정로 221(둔산동),127.393991,36.353948
대전만년초등학교,대전광역시 서구 만년남로 14(만년동),127.376825,36.3665863
대전둔천초등학교,대전광역시 서구 만년로 3(만년동),127.373607,36.3680343
대전서부초등학교,대전광역시 서구 동서대로 968(변동),127.368975,36.3330337
대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동),127.376687,36.307763
대전문정초등학교,대전광역시 서구 문정로 180(둔산동),127.395442,36.3504964
대전삼천초등학교,대전광역시 서구 둔산북로 232-33(둔산동),127.400439,36.3540132
대전성천초등학교,대전광역시 서구 갈마역로 139(월평동),127.373107,36.3626823
대전성룡초등학교,대전광역시 서구 갈마역로 125(월평동),127.373018,36.3614641
대전정림초등학교,대전광역시 서구 정림로 32(정림동),127.366145,36.3031283
대전신계초등학교,대전광역시 서구 복수동로 26(복수동),127.377872,36.3017349
대전삼육초등학교,대전광역시 서구 도림1길 15(도마동),127.372585,36.3116739
대전상원초등학교,대전광역시 유성구 상대서로 46(상대동),127.332975,36.3425014
중남초등학교,울산광역시 울주군 삼남면 사촌신복로 572,129.108236,35.5365503
성신초등학교,경기도 고양시 덕양구 성신로 104(행신동),126.840305,37.6265954
행신초등학교,경기도 고양시 덕양구 중앙로 527(행신동),126.836993,37.6217063
대곡초등학교,경기도 고양시 덕양구 대주로 138-50(대장동),126.812615,37.6410069
백양초등학교,경기도 고양시 덕양구 화신로 238(화정동),126.836101,37.6317619
지도초등학교,경기도 고양시 덕양구 성신로 49(화정동),126.833917,37.6279291
고양화수초등학교,경기도 고양시 덕양구 화수로 25(화정동),126.832731,37.6451448
화중초등학교,경기도 고양시 덕양구 화중로152번길 43(화정동),126.835998,37.6405369
고양화정초등학교,경기도 고양시 덕양구 화신로 333(화정동),126.826111,37.6337354
용정초등학교,경기도 고양시 덕양구 은빛로17번길 53(화정동),126.829577,37.6402842
고양초등학교,경기도 고양시 덕양구 혜음로13번길 22-7(고양동),126.899934,37.7030317
목암초등학교,경기도 고양시 덕양구 푸른마을로 63(고양동),126.90466,37.714005
성라초등학교,경기도 고양시 덕양구 호국로716번길 13-19(성사동),126.833651,37.6523492
내유초등학교,경기도 고양시 덕양구 통일로 1132(내유동),126.851857,37.7153948
고양관산초등학교,경기도 고양시 덕양구 통일로726번길 130(관산동),126.866547,37.6919217
성사초등학교,경기도 고양시 덕양구 호국로834번길 89(성사동),126.844305,37.6576405
